850,77.22
855,76.72
860,77.22
865,77.22
870,77.22
875,77.47
880,77.72
885,77.72
890,77.72
895,77.47
900,77.47
905,77.72
910,78.22
915,77.97
920,78.22
925,78.22
930,78.22
935,77.97
940,77.97
945,77.97
950,77.97
955,77.97
960,77.97
965,78.72
970,78.22
975,78.72
980,78.22
985,79.47
990,87.22
995,89.22
1000,90.47
1005,91.47
1010,92.22
1015,93.72
1020,94.72
1025,95.22
1030,95.72
1035,96.22
1040,96.47
1045,96.97
1050,97.22
1055,97.47
1060,97.97
1065,97.97
1070,98.72
1075,98.72
1080,99.47
1085,99.72
1090,100.22
1095,100.72
1100,100.97
1105,101.22
1110,101.22
1115,101.47
1120,101.22
1125,101.47
1130,101.47
1135,101.47
1140,101.72
1145,101.97
1150,102.47
1155,102.47
1160,102.47
1165,102.47
1170,102.47
1175,102.97
1180,102.72
1185,103.22
1190,103.47
1195,103.72
1200,103.97
1205,103.97
1210,103.72
1215,103.72
1220,103.47
1225,103.22
1230,102.97
1235,103.22
1240,103.22
1245,103.47
1250,104.22
1255,104.22
1260,104.22
1265,104.22
1270,104.22
1275,104.22
1280,104.22
1285,104.22
1290,104.47
1295,104.72
1300,104.72
1305,86.47
1310,97.72
1315,100.22
1320,101.47
1325,102.22
1330,101.97
1335,80.47
1340,71.97
1345,67.22
1350,63.72
1355,60.97
1360,58.72
1365,56.72
1370,54.72
1375,53.22
1380,51.72
1385,50.47
1390,49.72
1395,48.47
1400,47.47
1405,45.47
1410,43.72
1415,40.72
1420,39.47
1425,38.47
1430,38.47
1435,38.22
1440,37.72
1445,37.47
1450,36.47
1455,35.97
1460,35.97
1465,38.72
1470,40.72
1475,41.72
1480,39.47
1485,38.72
1490,37.72
1495,37.47
1500,37.22
1505,37.22
1510,36.97
1515,36.97
1520,36.72
1525,36.72
1530,36.47
1535,36.47
1540,36.47
1545,36.22
1550,36.22
1555,36.22
1560,36.22
1565,35.97
1570,36.22
1575,35.22
1580,33.97
1585,33.47
1590,33.47
1595,33.72
1600,33.72
1605,33.97
1610,33.72
1615,33.97
1620,33.97
1625,33.97
1630,33.97
1635,33.97
1640,34.22
1645,34.72
1650,36.97
1655,37.97
1660,38.22
1665,38.72
1670,38.97
1675,39.22
1680,39.72
1685,39.72
1690,39.97
1695,40.22
1700,40.22
1705,40.47
1710,40.72
1715,40.47
1720,40.72
1725,40.72
1730,40.72
1735,40.72
1740,41.22
1745,40.97
1750,41.22
1755,40.97
1760,41.22
1765,41.22
1770,41.22
1775,41.22
1780,41.47
1785,41.47
1790,41.72
1795,41.72
1800,41.72
1805,41.97
1810,41.72
1815,41.72
1820,41.97
1825,41.72
1830,41.72
1835,41.72
1840,41.72
